1a2k,C
1byu,A
1ek0,A
1el5,A
1f6b,A
1fzq,A
1gwn,A
1gzs,A
1h65,A
1hur,A
1j2j,A
1ksg,A
1ksh,A
1l9c,A
1m2o,B
1mr3,F
1oiv,A
1oiw,A
1qg2,A
1qg4,A
1re0,A
1rrg,A
1s8f,A
1t91,A
1u0l,A
1vg0,B
1vg1,A
1wa5,A
1xzp,A
1yzg,A
1z6x,A
1z6y,A
1zd9,A
1zj6,A
1zov,A
2al7,A
2b6h,A
2bku,A
2bmj,A
2dyk,A
2e87,A
2efc,B
2f8x,C
2fa9,A
2fmx,A
2gao,A
2h16,A
2h17,A
2h18,A
2h5e,A
2iwr,A
2j3e,A
2jhe,A
2k5u,A
2ksq,A
2lkc,A
2q3h,A
2qag,C
2qtv,B
2wkp,A
2wkq,A
2wkr,A
2y8e,A
2yc2,C
2ynm,D
2ywe,A
2ywg,A
2zej,A
3a1t,A
3a1w,A
3aq4,A
3bb1,A
3bb4,A
3bh6,A
3bh7,A
3bhf,A
3brg,C
3c5c,A
3c5h,A
3cb4,D
3d6t,B
3def,A
3deg,C
3doe,A
3dpu,A
3ebg,A
3ebi,A
3eph,A
3geh,A
3iag,C
3ihw,A
3ipk,A
3izy,P
3j4j,A
3j8g,X
3k53,A
3kf5,A
3kje,A
3lrp,A
3m0o,A
3m12,A
3nbn,A
3o47,A
3q43,A
3ran,A
3t12,A
3t5d,A
3tjz,A
3tw4,A
3u14,A
3u75,A
4b3x,A
4b43,A
4b47,A
4c0l,A
4djt,A
4ee9,A
4f38,A
4goj,A
4hmy,C
4ile,A
4j2x,A
4j3b,A
4k5l,A
4k5n,A
4kjz,A
4mm1,A
4n4p,A
4q0w,A
4q66,F
4r5t,A
4r5v,A
4r5x,A
4rgw,A
4v0k,A
4wnr,A
4xc6,A
4zi2,A
5a1u,A
5bvu,A
5di3,A
5e9f,A
5e9g,A
5fjs,A
5fur,G
5jcp,B
5kh0,A
5lmv,a
5uf8,A
5vcu,A
