11AS,A
12AS,A
1A0I,A
1A48,A
1A6X,A
1A82,A
1A8H,A
1A9X,A
1ADE,A
1ADI,A
1ADJ,A
1ADY,A
1ASY,A
1ASZ,A
1ATI,A
1B04,A
1B47,A
1B6R,A
1B6S,A
1B70,A
1B76,A
1B7Y,A
1B8A,A
1BBU,A
1BBW,A
1BCM,A
1BCO,A
1BDO,A
1BIA,A
1BIB,A
1BNC,A
1BS1,A
1BS2,A
1BXR,A
1BYI,A
1C0A,A
1C30,A
1C3O,A
1C4Z,A
1C9Q,A
1CA4,A
1CA9,A
1CE8,A
1CG0,A
1CG1,A
1CG3,A
1CG4,A
1CH8,A
1CHC,A
1CIB,A
1CLI,A
1CQI,A
1CQJ,A
1CS0,A
1CT9,A
1CZY,A
1CZZ,A
1D00,A
1D01,A
1D0A,A
1D0J,A
1D2D,A
1D2R,A
1D5F,A
1DAD,A
1DAE,A
1DAF,A
1DAG,A
1DAH,A
1DAI,A
1DAK,A
1DAM,A
1DBS,A
1DGS,A
1DJ2,A
1DJ3,A
1DTS,A
1DV1,A
1DV2,A
1DV5,A
1E0D,A
1E1O,A
1E1T,A
1E22,A
1E24,A
1E4E,A
1E4U,A
1E8C,A
1EE1,A
1EEH,A
1EFW,A
1EG7,A
1EHI,A
1EIY,A
1EOV,A
1EQR,A
1EQX,A
1EUC,A
1EUD,A
1EUQ,A
1EUY,A
1EVK,A
1EVL,A
1EXD,A
1F1H,A
1F3V,A
1F4L,A
1F52,A
1F7U,A
1F7V,A
1F9X,A
1FBV,A
1FFY,A
1FGS,A
1FLK,A
1FLL,A
1FP7,A
1FPM,A
1FPY,A
1FVI,A
1FYD,A
1FYF,A
1FYJ,A
1G3F,A
1G51,A
1G59,A
1G73,A
1G8P,A
1GAX,A
1GG4,A
1GGM,A
1GIM,A
1GIN,A
1GLN,A
1GLV,A
1GMJ,A
1GPM,A
1GQQ,A
1GQY,A
1GSA,A
1GSG,A
1GSH,A
1GSO,A
1GTD,A
1GTR,A
1GTS,A
1H3E,A
1H3F,A
1H3N,A
1H4Q,A
1H4S,A
1H4T,A
1H4V,A
1HC7,A
1HF9,A
