# epoch, train_loss, train_acc, train_time, val_loss, val_acc, val_time
1.000, 0.717, 0.644, 10.538, 0.526, 0.739, 0.606
2.000, 0.634, 0.699, 4.713, 0.359, 0.783, 0.427
3.000, 0.216, 0.926, 4.781, 0.266, 0.913, 0.415
4.000, 0.100, 0.975, 5.075, 0.226, 0.913, 0.441
5.000, 0.044, 0.988, 4.896, 0.246, 0.913, 0.421
6.000, 0.020, 1.000, 4.952, 0.213, 0.913, 0.406
7.000, 0.003, 1.000, 4.732, 0.256, 0.957, 0.428
8.000, 0.001, 1.000, 5.010, 0.161, 0.957, 0.432
9.000, 0.000, 0.865, 5.100, 0.000, 0.739, 0.429
10.000, 0.000, 0.663, 4.966, 0.000, 0.739, 0.402
11.000, 0.000, 0.663, 4.696, 0.000, 0.739, 0.413
12.000, 0.000, 0.663, 4.734, 0.000, 0.739, 0.416
13.000, 0.000, 0.663, 4.660, 0.000, 0.739, 0.419
14.000, 0.000, 0.663, 4.752, 0.000, 0.739, 0.455
15.000, 0.000, 0.663, 4.653, 0.000, 0.739, 0.343
16.000, 0.000, 0.663, 4.651, 0.000, 0.739, 0.418
17.000, 0.000, 0.663, 4.656, 0.000, 0.739, 0.414
18.000, 0.000, 0.663, 4.752, 0.000, 0.739, 0.445
19.000, 0.000, 0.663, 4.632, 0.000, 0.739, 0.391
20.000, 0.000, 0.663, 4.548, 0.000, 0.739, 0.417
# Test [loss accu time], 0.246932, 0.895833, 0.786817
